date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
23-02-2024,BP_120530,紐西蘭聖克萊,紐西蘭聖克萊 莎當妮白酒,75CL,白酒,149,149,None,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_120530,parknshop
23-02-2024,BP_389881,RAWSON'S RETREAT,RAWSON'S RETREAT 莎當妮白酒,75CL,白酒,89,89,$98 / 2件,已售200,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_389881,parknshop
23-02-2024,BP_385762,奇偉,奇偉 蘇維翁白酒,75CL,白酒,49,65,$78 / 3件,已售100,0,https://www.pns.hk/zh-hk/%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_385762,parknshop
23-02-2024,BP_374169,夏迪,夏迪 莎當妮白酒,3L,白酒,99,99,None,已售100,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_374169,parknshop
23-02-2024,BP_371500,加州赤足,加州赤足 黑比諾紅酒,75CL,紅酒,59,59,None,None,0,https://www.pns.hk/zh-hk/%E9%BB%91%E6%AF%94%E8%AB%BE%E7%B4%85%E9%85%92/p/BP_371500,parknshop
23-02-2024,BP_368361,紐西蘭明聖酒莊,紐西蘭明聖酒莊 蘇維翁白酒,75CL,白酒,139,139,None,None,0,https://www.pns.hk/zh-hk/%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_368361,parknshop
23-02-2024,BP_354388,APOTHIC,APOTHIC 紅酒（ 原裝）,75CL,紅酒,99,99,$158 / 2件,已售400,0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92%EF%BC%88%20%E5%8E%9F%E8%A3%9D%EF%BC%89/p/BP_354388,parknshop
23-02-2024,BP_354372,CASTILLO ALBAI,CASTILLO ALBAI 丹魄紅酒,75CL,紅酒,79,79,None,None,0,https://www.pns.hk/zh-hk/%E4%B8%B9%E9%AD%84%E7%B4%85%E9%85%92/p/BP_354372,parknshop
23-02-2024,BP_303215,南非尼德堡,南非尼德堡 皮諾塔紅酒,75CL,紅酒,89,89,$128 / 2件,已售100,0,https://www.pns.hk/zh-hk/%E7%9A%AE%E8%AB%BE%E5%A1%94%E7%B4%85%E9%85%92/p/BP_303215,parknshop
23-02-2024,BP_130865,JUSTBE,JUSTBE ＢＥＳＥＣＣＯ 氣泡酒１０◦５％酒精,200ML,汽酒,22.90,38,None,None,0,https://www.pns.hk/zh-hk/%EF%BC%A2%EF%BC%A5%EF%BC%B3%EF%BC%A5%EF%BC%A3%EF%BC%A3%EF%BC%AF%20%E6%B0%A3%E6%B3%A1%E9%85%92%EF%BC%91%EF%BC%90%E2%97%A6%EF%BC%95%EF%BC%85%E9%85%92%E7%B2%BE/p/BP_130865,parknshop
23-02-2024,BP_498037,智利華詩歌,智利華詩歌 特级珍藏紅酒禮盒裝連酒杯,750MLX2,紅酒,288,288,None,None,0,https://www.pns.hk/zh-hk/%E7%89%B9%E7%BA%A7%E7%8F%8D%E8%97%8F%E7%B4%85%E9%85%92%E7%A6%AE%E7%9B%92%E8%A3%9D%E9%80%A3%E9%85%92%E6%9D%AF/p/BP_498037,parknshop
23-02-2024,BP_448533,舞鶴,舞鶴 好天好飲酒－柚子味燒酒,360ML,韓國酒,19.90,19.90,$34 / 2件,None,0,https://www.pns.hk/zh-hk/%E5%A5%BD%E5%A4%A9%E5%A5%BD%E9%A3%B2%E9%85%92%EF%BC%8D%E6%9F%9A%E5%AD%90%E5%91%B3%E7%87%92%E9%85%92/p/BP_448533,parknshop
23-02-2024,BP_409816,OYSTER BAY,OYSTER BAY 白皮諾白酒,75CL,白酒,109,129,None,None,0,https://www.pns.hk/zh-hk/%E7%99%BD%E7%9A%AE%E8%AB%BE%E7%99%BD%E9%85%92/p/BP_409816,parknshop
23-02-2024,BP_138337,三得利,三得利 香濃愛爾啤酒,350MLX6,啤酒,79.90,79.90,送贈品,None,0,https://www.pns.hk/zh-hk/%E9%A6%99%E6%BF%83%E6%84%9B%E7%88%BE%E5%95%A4%E9%85%92/p/BP_138337,parknshop
